DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,APPLECONCRETETEXT,FACEBOOKCONCRETETEXT,AMAZONCONCRETETEXT,GOOGLECONCRETETEXT,USERCONTROLFACEBOOK,COMPANIES
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE CONTENT,ANALYTICS,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PERSONALIZE PRODUCTS,ANALYTICS,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PRODUCT SAFETY,SAFETY AND SECURITY,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROTECT COMPANY,SAFETY AND SECURITY,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others. We may also use scoring methods to assess and manage credit risks.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,PROVIDE SERVICES,OPERATIONS,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have (including from research partners we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.","We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers.",We use the information we collect in existing services to help us develop new ones.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share.... Also, when you download or use such third-party services, they can access your public profile on Facebook, and any information that you share with them.","We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and e-mail, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders. For example, we share information publicly to show trends about the general use of our services. We also allow specific partners to collect information from your browser or device for advertising and measurement purposes using their own cookies or similar technologies.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SERVICE PROVIDER INFORMATION,DEVICE SIGNALS,THIRD PARTY,THIRD PARTY,"We treat information collected by cookies and other technologies as non‑personal information.... We may collect, use, transfer, and disclose non-personal information for any purpose.","When you choose to use third-party apps, websites, or other services that use, or are integrated with, our Products, they can receive information about what you post or share.... Also, when you download or use such third-party services, they can access your public profile on Facebook, and any information that you share with them.","We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services. We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards. You can tell when a third party is involved in your transactions, and we share customers’ personal information related to those transactions with that third party.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,ANALYTICS,ANALYTICS,,,"We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",,,AMAZON
SOCIAL SECURITY NUMBER,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.",,"We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",,,"AMAZON,APPLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,,,"We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.",,,AMAZON
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,,,"We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","If you don't want us to share personal information about your creditworthiness between GPC and its affiliates, or if you do not want our affiliates to use your personal information collected by us and shared with them to market to you, or if you do not want Google LLC or its affiliates to inform a third-party merchant, whose site or app you visit, whether you have a Google Payments account that can be used for payment to that merchant, please indicate your preference by logging in to your account, going to the Google Payments privacy settings page and updating your preferences.",,"AMAZON,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,,,"We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.",,,AMAZON
SOCIAL SECURITY NUMBER,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.",,"We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",,"AMAZON,APPLE,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,,,"We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.",,,AMAZON
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.",,"We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.",,"AMAZON,APPLE,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,,,"We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers.",We use the information we collect in existing services to help us develop new ones.,,"AMAZON,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",Yes,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.",,"We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",,"AMAZON,APPLE,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,"We may also use your personal information for account and network security purposes, including in order to protect our services for the benefit of all our users, and pre-screening or scanning uploaded content for potentially illegal content, including child sexual exploitation material.",,"We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others. We may also use scoring methods to assess and manage credit risks.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",,"AMAZON,APPLE,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,"In certain jurisdictions, we may ask for a government issued ID in limited circumstances including when setting up a wireless account and activating your device, for the purpose of extending commercial credit, managing reservations, or as required by law.","We access, preserve and share your information with regulators, law enforcement or others: In response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States when we have a good-faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"Apple shares personal information with companies who provide services such as information processing, extending credit, fulfilling customer orders, delivering products to you, managing and enhancing customer data, providing customer service, assessing your interest in our products and services, and conducting customer research or satisfaction surveys. These companies are obligated to protect your information and may be located wherever Apple operates.",,"We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and e-mail, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures. For example, we use service providers to help us with customer support.",,"AMAZON,APPLE,GOOGLE"
SOCIAL SECURITY NUMBER,PERSONAL DATA,THIRD PARTY,THIRD PARTY,"At times Apple may provide third parties with certain personal information to provide or improve our products and services, including to deliver products at your request, or to help Apple market to consumers.",,"We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services. We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards. You can tell when a third party is involved in your transactions, and we share customers’ personal information related to those transactions with that third party.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",,"AMAZON,APPLE,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","From the Facebook Graph API documentation: ""Any valid access token can read photos on a public Page. A page access token can read all photos posted to or posted by that Page. The current user's photos can be read if the user has granted the user_photos or user_posts permission. A user access token may read a photo that the current user is tagged in if they have granted the user_photos or user_posts permission. However, in some cases the photo's owner's privacy settings may not allow your application to access it.""","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,ADVERTISING,ADVERTISING,"We may collect, use, transfer, and disclose non-personal information for any purpose.","When we show you ads off Facebook Company Products, such as on websites, apps and devices that use our advertising services, we use data about your activity on Facebook Company Products to make them more relevant.","We use your personal information to display interest-based ads for features, products, and services that might be of interest to you. We do not use information that personally identifies you to display interest-based ads.",Reasons you might see an ad - Your activity: Your current search query; Previous search activity; Your activity while you were signed in to Google; Your previous interactions with ads; Types of websites you visit; Types of mobile app activity on your device; Your activity on another device,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,ANALYTICS,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",We use data for analytics and measurement to understand how our services are used.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,ANY PURPOSE,ANY PURPOSE,"We may collect, use, transfer, and disclose non-personal information for any purpose.",,,,,APPLE
USE OF OTHER PLATFORMS,PRODUCT USE,COMPANY OPERATIONS,OPERATIONS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.",We use your information to deliver our services,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,IMPROVE PRODUCTS,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,LEARN USERS' BEHAVIOR,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services. For example, we use cookies to analyze how people interact with our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,LEGAL COMPLIANCE,THIRD PARTY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We access, preserve and share your information with regulators, law enforcement or others: In response to a legal request (like a search warrant, court order or subpoena) if we have a good faith belief that the law requires us to do so. This may include responding to legal requests from jurisdictions outside of the United States when we have a good-faith belief that the response is required by law in that jurisdiction, affects users in that jurisdiction, and is consistent with internationally recognized standards.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","Google also uses information to satisfy applicable laws or regulations, and discloses information in response to legal process or enforceable government requests, including to law enforcement.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,LOCATION-BASED SERVICES,OPERATIONS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others. Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,PERSONALIZE CONTENT,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,PERSONALIZE PRODUCTS,ANALYTICS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,PRODUCT SAFETY,SAFETY AND SECURITY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We release account and other personal information when we believe release is appropriate to comply with the law; enforce or apply our Conditions of Use and other agreements; or protect the rights, property, or safety of Amazon, our users, or others.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,PROTECT COMPANY,SAFETY AND SECURITY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to verify accounts and activity, combat harmful conduct, detect and prevent spam and other bad experiences, maintain the integrity of our Products, and promote safety and security on and off of Facebook Products.","We use personal information to prevent and detect fraud and abuse in order to protect the security of our customers, Amazon, and others. We may also use scoring methods to assess and manage credit risks.","We use information to help improve the safety and reliability of our services. This includes detecting, preventing, and responding to fraud, abuse, security risks, and technical issues that could harm Google, our users, or the public.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,PROVIDE SERVICES,OPERATIONS,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products. To create personalized Products that are unique and relevant to you, we use your connections, preferences, interests and activities based on the data we collect and learn from you and others (including any data with special protections you choose to provide); how you use and interact with our Products; and the people, places, or things you're connected to and interested in on and off our Products.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","We use your information to deliver our services, like processing the terms you search for in order to return results or helping you share content by suggesting recipients from your contacts.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,RESEARCH AND DEVELOPMENT,RESEARCH AND DEVELOPMENT,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have (including from research partners we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.","We use your personal information to operate, provide, develop, and improve the products and services that we offer our customers.",We use the information we collect in existing services to help us develop new ones.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,"We may collect, use, transfer, and disclose non-personal information for any purpose.",We share information about you with companies that aggregate it to provide analytics and measurement reports to our partners.,"We employ other companies and individuals to perform functions on our behalf. Examples include fulfilling orders for products or services, delivering packages, sending postal mail and e-mail, removing repetitive information from customer lists, analyzing data, providing marketing assistance, providing search results and links (including paid listings and links), processing payments, transmitting content, scoring, assessing and managing credit risk, and providing customer service. These third-party service providers have access to personal information needed to perform their functions, but may not use it for other purposes.","We may share non-personally identifiable information publicly and with our partners — like publishers, advertisers, developers, or rights holders.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USE OF OTHER PLATFORMS,PRODUCT USE,THIRD PARTY,THIRD PARTY,"We may collect, use, transfer, and disclose non-personal information for any purpose.","We use the information we have (including your activity off our Products, such as the websites you visit and ads you see) to help advertisers and other partners measure the effectiveness and distribution of their ads and services, and understand the types of people who use their services and how people interact with their websites, apps, and services.","We make available to you services, products, applications, or skills provided by third parties for use on or through Amazon Services. For example, you can order products from third parties through our stores, download applications from third-party application providers from our App Store, and enable third-party skills through our Alexa services. We also offer services or sell product lines jointly with third-party businesses, such as co-branded credit cards. You can tell when a third party is involved in your transactions, and we share customers’ personal information related to those transactions with that third party.","We provide personal information to our affiliates and other trusted businesses or persons to process it for us, based on our instructions and in compliance with our Privacy Policy and any other appropriate confidentiality and security measures.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,ADVERTISING,ADVERTISING,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to send you marketing communications, communicate with you about our Products, and let you know about our policies and terms.",,"We don’t share information that personally identifies you with advertisers, such as your name or email, unless you ask us to.",No,"APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,ANALYTICS,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have to develop, test and improve our Products, including by conducting surveys and research, and testing and troubleshooting new products and features.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.",We use data for analytics and measurement to understand how our services are used.,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to provide functionality, analyze performance, fix errors, and improve the usability and effectiveness of the Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,"We may also use personal information for internal purposes such as auditing, data analysis, and research to improve Apple’s products, services, and customer communications.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","And we use your information to make improvements to our services — for example, understanding which search terms are most frequently misspelled helps us improve spell-check features used across our services. For example, we use cookies to analyze how people interact with our services.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE CONTENT,ANALYTICS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to recommend features, products, and services that might be of interest to you, identify your preferences, and personalize your experience with Amazon Services.","We use the information we collect to customize our services for you, including providing recommendations, personalized content, and customized search results.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,"We also use personal information to help us create, develop, operate, deliver, and improve our products, services, content and advertising, and for loss prevention and anti-fraud purposes.","We use the information we have to deliver our Products, including to personalize features and content (including your News Feed, Instagram Feed, Instagram Stories and ads) and make suggestions for you (such as groups or events you may be interested in or topics you may want to follow) on and off our Products.","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.",We use your information to deliver our services,No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
USER'S CONTACT INFORMATION,PERSONAL DATA,LOCATION-BASED SERVICES,OPERATIONS,"When users choose to share identifiable location data with Apple or third parties, Apple designs features to give users transparency and control over how their data is being shared.","We use location-related information-such as your current location, where you live, the places you like to go, and the businesses and people you're near-to provide, personalize and improve our Products, including ads, for you and others. Location-related information can be based on things like precise device location (if you've allowed us to collect it), IP addresses, and information from your and others' use of Facebook Products (such as check-ins or events you attend).","We use your personal information to take and handle orders, deliver products and services, process payments, and communicate with you about orders, products and services, and promotional offers.","We collect information about your location when you use our services, which helps us offer features like driving directions for your weekend getaway or showtimes for movies playing near you.",No,"AMAZON,APPLE,FACEBOOK,GOOGLE"
